outcome,treatment,reference,common_estimate,common_lower,common_upper,random_estimate,random_lower,random_upper,common_backtransformed,common_lower_backtransformed,common_upper_backtransformed,random_backtransformed,random_lower_backtransformed,random_upper_backtransformed
early_RV_LV_reduction_24_96h_MD,CAT,AC,0.2800000000000003,0.12904648158788828,0.4309535184121123,0.2799999999999994,-0.03309235439266173,0.5930923543926605,0.2800000000000003,0.12904648158788828,0.4309535184121123,0.2799999999999994,-0.03309235439266173,0.5930923543926605
early_RV_LV_reduction_24_96h_MD,CDT,AC,0.39669661829287395,0.21802636154878263,0.5753668750369653,0.38952839981563636,0.012306148459536148,0.7667506511717366,0.39669661829287395,0.21802636154878263,0.5753668750369653,0.38952839981563636,0.012306148459536148,0.7667506511717366
early_RV_LV_reduction_24_96h_MD,LBAT,AC,0.41669661829287485,0.2331985215875796,0.6001947149981701,0.4095283998156355,-0.058750337077013326,0.8778071367082843,0.41669661829287485,0.2331985215875796,0.6001947149981701,0.4095283998156355,-0.058750337077013326,0.8778071367082843
early_RV_LV_reduction_24_96h_MD,ST,AC,0.23604511196903968,0.16990245418822567,0.30218776974985373,0.21789700219896427,0.017787666896829063,0.4180063375010995,0.23604511196903968,0.16990245418822567,0.30218776974985373,0.21789700219896427,0.017787666896829063,0.4180063375010995
early_RV_LV_reduction_24_96h_MD,USCDT,AC,0.1566966182928311,0.09117878187479694,0.22221445471086526,0.14952839981563537,-0.04903215896662286,0.34808895859789357,0.1566966182928311,0.09117878187479694,0.22221445471086526,0.14952839981563537,-0.04903215896662286,0.34808895859789357
major_bleeding_OR,CAT,AC,0.12260232209233157,-2.6775030270963693,2.9227076712810325,0.12260232209233257,-3.1682902720426416,3.4134949162273065,1.1304347826086947,0.06873456841170447,18.591559200275164,1.1304347826086958,0.04207547405591554,30.371203804699793
major_bleeding_OR,CDT,AC,1.0773348902208226,-2.148770735747383,4.303440516189028,1.0773348902208244,-2.5828757061084406,4.737545486550089,2.9368421052631515,0.11662743562977544,73.95379573144356,2.936842105263157,0.07555641327009496,114.1536658233656
major_bleeding_OR,LBAT,AC,1.0851474299576183,-2.207594499686051,4.377889359601287,1.0851474299576176,-3.0161837703221264,5.186478630237362,2.9598761609907114,0.10996485110225938,79.66970173273035,2.9598761609907096,0.04898781083325074,178.83768920032284
major_bleeding_OR,ST,AC,1.2203093272919716,0.6960232576955072,1.744595396888436,0.7493204576847141,-0.3038240053216217,1.80246492069105,3.3882356452958597,2.0057604340266493,5.723585226480204,2.115561914200987,0.7379907374644386,6.064577759058134
major_bleeding_OR,USCDT,AC,0.7128823973482116,-0.027032087228955115,1.4527968819253783,0.692104039448292,-0.7375103973443273,2.121718476240911,2.0398624871988127,0.9733300095604003,4.275054632868289,1.9979148055418086,0.47830321942496534,8.345466658163193
death_followup_OR,CDT,AC,-2.0547130089041072,-5.04608742396833,0.9366614061601153,-2.054713008904109,-5.0460874249392695,0.936661407131052,0.12812960235640714,0.006434459572563887,2.551448931315515,0.1281296023564069,0.006434459566316415,2.5514489337928103
death_followup_OR,LBAT,AC,-2.74420387826094,-6.58332006873093,1.0949123122090496,-2.744203878260942,-6.5833200702440084,1.0949123137221246,0.06429947077958906,0.0013832491803625446,2.9889205800589087,0.06429947077958895,0.00138324917826958,2.9889205845813698
death_followup_OR,ST,AC,-0.08834969345499166,-0.6685502326841961,0.4918508457742128,-0.08834969256240521,-0.6685502337222438,0.49185084859743333,0.915440697124016,0.512450974178814,1.6353401831147316,0.9154406979411259,0.5124509736468655,1.6353401877316576
death_followup_OR,USCDT,AC,-0.06288247656345591,-1.0902007148026303,0.9644357616757184,-0.06288247631336219,-1.0902007158392264,0.964435763212502,0.9390538280373659,0.3361490168515863,2.623307068427231,0.9390538282722174,0.33614901650313556,2.623307072458686
