outcome,treatment,reference,random_estimate,random_lower,random_upper,random_backtransformed,random_lower_backtransformed,random_upper_backtransformed
NMA1_intermediate_low_exploratory__rv_lv,ST,AC,0.2700000000000119,0.18783003571680834,0.35216996428321545,0.2700000000000119,0.18783003571680834,0.35216996428321545
NMA1_intermediate_low_exploratory__rv_lv,USCDT,AC,0.270000000000017,0.17773224371118787,0.3622677562888461,0.270000000000017,0.17773224371118787,0.3622677562888461
NMA1_intermediate_low_exploratory__major_bleeding,ST,AC,-0.171407384052103,-1.458379002726943,1.1155642346227368,0.8424782913324014,0.23261303437848346,3.051289336656431
NMA1_intermediate_low_exploratory__death_followup,ST,AC,-0.12856416091368628,-1.1680170633093605,0.910888741481988,0.8793571402508114,0.31098298985169376,2.4865314353008605
NMA1_intermediate_low_exploratory__death_followup,USCDT,AC,-1.1664348850068709,-4.40757878300817,2.074709012994429,0.31147540983606553,0.012184644311598967,7.962229216669986
NMA1_intermediate_low_exploratory__clinical_deterioration,ST,AC,-1.2178232836136564,-1.840934866398008,-0.5947117008293048,0.2958734991880271,0.15866902241145775,0.5517216038223096
NMA2_intermediate_high_exploratory__major_bleeding,CAT,AC,0.12260232209232802,-2.6775030280186374,2.9227076722032934,1.1304347826086907,0.06873456834831278,18.591559217421434
NMA2_intermediate_high_exploratory__major_bleeding,CDT,AC,1.0773348902208304,-2.1487707365478603,4.303440516989522,2.9368421052631746,0.1166274355364178,73.95379579064313
NMA2_intermediate_high_exploratory__major_bleeding,LBAT,AC,1.0851474299576218,-2.207594501254614,4.377889361169858,2.959876160990722,0.10996485092977258,79.66970185769793
NMA2_intermediate_high_exploratory__major_bleeding,ST,AC,1.49747222930413,0.9233536039691298,2.07159085463913,4.4703746941369165,2.5177196825020762,7.937440392935104
NMA2_intermediate_high_exploratory__major_bleeding,USCDT,AC,0.8066474757332183,0.06251175966767408,1.5507831917987625,2.240384439086271,1.064506977092542,4.715161612758086
NMA2_intermediate_high_exploratory__death_followup,CDT,AC,-2.054713008904111,-5.549337981665072,1.4399119638568503,0.1281296023564067,0.0038900316635101665,4.220324259570898
NMA2_intermediate_high_exploratory__death_followup,LBAT,AC,-2.744203878260945,-7.355817342355291,1.8674095858334003,0.06429947077958874,6.388650326825625e-4,6.471510774623167
NMA2_intermediate_high_exploratory__death_followup,ST,AC,0.38916095089865266,-1.1862882042370726,1.964610106034378,1.4757420542291977,0.3053525695542439,7.132131273038912
NMA2_intermediate_high_exploratory__death_followup,USCDT,AC,0.3297619001747769,-1.4119602993169844,2.071484099666538,1.3906369786204265,0.24366515802951252,7.936593076931906
NMA3_all_intermediate__rv_lv,CAT,AC,0.2799999999999994,-0.03309235439266173,0.5930923543926605,0.2799999999999994,-0.03309235439266173,0.5930923543926605
NMA3_all_intermediate__rv_lv,CDT,AC,0.38952839981563636,0.012306148459536148,0.7667506511717366,0.38952839981563636,0.012306148459536148,0.7667506511717366
NMA3_all_intermediate__rv_lv,LBAT,AC,0.4095283998156355,-0.058750337077013326,0.8778071367082843,0.4095283998156355,-0.058750337077013326,0.8778071367082843
NMA3_all_intermediate__rv_lv,ST,AC,0.21789700219896427,0.017787666896829063,0.4180063375010995,0.21789700219896427,0.017787666896829063,0.4180063375010995
NMA3_all_intermediate__rv_lv,USCDT,AC,0.14952839981563537,-0.04903215896662286,0.34808895859789357,0.14952839981563537,-0.04903215896662286,0.34808895859789357
NMA3_all_intermediate__major_bleeding,CAT,AC,0.12260232209233257,-3.1682902720426416,3.4134949162273065,1.1304347826086958,0.04207547405591554,30.371203804699793
NMA3_all_intermediate__major_bleeding,CDT,AC,1.0773348902208244,-2.5828757061084406,4.737545486550089,2.936842105263157,0.07555641327009496,114.1536658233656
NMA3_all_intermediate__major_bleeding,LBAT,AC,1.0851474299576176,-3.0161837703221264,5.186478630237362,2.9598761609907096,0.04898781083325074,178.83768920032284
NMA3_all_intermediate__major_bleeding,ST,AC,0.7493204576847141,-0.3038240053216217,1.80246492069105,2.115561914200987,0.7379907374644386,6.064577759058134
NMA3_all_intermediate__major_bleeding,USCDT,AC,0.692104039448292,-0.7375103973443273,2.121718476240911,1.9979148055418086,0.47830321942496534,8.345466658163193
NMA3_all_intermediate__death_followup,CDT,AC,-2.054713008904109,-5.0460874249392695,0.936661407131052,0.1281296023564069,0.006434459566316415,2.5514489337928103
NMA3_all_intermediate__death_followup,LBAT,AC,-2.744203878260942,-6.5833200702440084,1.0949123137221246,0.06429947077958895,0.00138324917826958,2.9889205845813698
NMA3_all_intermediate__death_followup,ST,AC,-0.08834969256240521,-0.6685502337222438,0.49185084859743333,0.9154406979411259,0.5124509736468655,1.6353401877316576
NMA3_all_intermediate__death_followup,USCDT,AC,-0.06288247631336219,-1.0902007158392264,0.964435763212502,0.9390538282722174,0.33614901650313556,2.623307072458686
