studlab,treat1,treat2,TE,seTE,event1,n1,event2,n2,incr1,incr2,study_id,short_name,death_7d_n,major_bleeding_definition,follow_up_locked,locked_status_v0.2,ready_death_nma,ready_clinical_deterioration_nma,ready_major_bleeding_nma,ready_ich_nma,studlab.orig,ready,arm_label1,arm_label2,node1,node2,n_randomized_or_analyzed1,n_randomized_or_analyzed2,risk_mapping_v0.21,risk_mapping_v0.22,death_followup_n1,death_followup_n2,clinical_deterioration_n1,clinical_deterioration_n2,primary_clinical_composite_n1,primary_clinical_composite_n2,major_bleeding_n1,major_bleeding_n2,intracranial_hemorrhage_n1,intracranial_hemorrhage_n2,recurrent_pe_n1,recurrent_pe_n2,rv_lv_or_rv_recovery_locked1,rv_lv_or_rv_recovery_locked2,source_note_v0.21,source_note_v0.22,event.orig1,event.orig2,n.orig1,n.orig2,treat.orig1,treat.orig2
TOPCOAT_2014,ST,AC,1.1950725548556718,1.6477170958966214,1,40,0,43,0.5,0.5,TOPCOAT_2014,TOPCOAT,NA,Author-defined major bleeding,5 days and 90 days,core locked; outcome harmonization needed,yes,sensitivity,yes,yes,TOPCOAT_2014,TRUE,Tenecteplase,Placebo + anticoagulation,ST,AC,40,43,intermediate-risk; mixed low/intermediate-high features,intermediate-risk; mixed low/intermediate-high features,1,1,1,3,6,16,1,0,1,0,NA,NA,NA,NA,Results: 1 tenecteplase patient died from ICH 5h after drug; 6/40 had 90-day adverse outcome; only major bleed during 5-day surveillance.,"Results: 3 early adverse outcomes in placebo, including 1 PE-attributed death and 2 shock/intubation/thrombectomy; total 16/43 adverse outcome by 90 days.",1,0,40,43,ST,AC
ULTIMA_2014,USCDT,AC,NA,NA,0,30,0,29,0,0,ULTIMA_2014,ULTIMA,NA,Author-defined major bleeding,90 days,core locked,yes,yes,yes,yes,ULTIMA_2014,TRUE,USAT/USCDT + UFH,UFH alone,USCDT,AC,30,29,intermediate-risk by RV/LV >=1; biomarker not required,intermediate-risk by RV/LV >=1; biomarker not required,0,1,0,0,NA,NA,0,0,0,0,0,0,1.28+/-0.19 to 0.99+/-0.17 at 24h; change 0.30+/-0.20,1.20+/-0.14 to 1.17+/-0.20 at 24h; change 0.03+/-0.16,"Abstract/results: safety outcomes at 90 days: 0 deaths in USAT, no major bleeding, no recurrent VTE.","Abstract/results: 1 death in heparin group, no major bleeding, no recurrent VTE.",0,0,30,29,USCDT,AC
MAPPET3_2002,ST,AC,-1.4812627190101026,1.102753737486067,1,118,5,138,0,0,MAPPET3_2002,MAPPET-3,NA,Author-defined major bleeding,in-hospital or day 30,core locked,yes,yes,yes,yes,MAPPET3_2002,TRUE,Heparin + alteplase,Heparin + placebo,ST,AC,118,138,"submassive PE; intermediate-risk by RV dysfunction/PH/ECG strain, biomarker not required","submassive PE; intermediate-risk by RV dysfunction/PH/ECG strain, biomarker not required",4,3,12,34,13,34,1,5,0,0,4,4,NA,NA,"Table 2: primary 13, death 4, escalation 12, recurrent PE 4, major bleeding 1, hemorrhagic stroke 0.","Table 2: primary 34, death 3, escalation 34, recurrent PE 4, major bleeding 5, hemorrhagic stroke 0.",1,5,118,138,ST,AC
FASULLO_2011,ST,AC,0.664159643686693,1.2481919697215291,2,37,1,35,0,0,FASULLO_2011,Fasullo 2011,NA,Author-defined major bleeding,10 days and 180 days,core locked,yes,yes,yes,yes,FASULLO_2011,TRUE,Thrombolysis + heparin,Heparin/placebo,ST,AC,37,35,submassive PE with RVD; biomarker mixed/unclear,submassive PE with RVD; biomarker mixed/unclear,0,5,0,2,NA,NA,2,1,0,0,0,4,RV function improved earlier; detailed echo table locked in source,NA,"Tables 4/6: in-hospital death 0, recurrent PE 0, major bleeding 2; total death 0; text: no intracranial bleeding in thrombolysis.","Table 4: death 5, recurrent fatal PE 3, irreversible RVD 2, major bleeding 1; Table 6 total death 6 and recurrent fatal PE 4 through 180d.",2,1,37,35,ST,AC
SINHA_2017,ST,AC,-0.0953101798043249,1.4309882154396913,1,45,1,41,0,0,SINHA_2017,Sinha 2017,2,Author-defined major bleeding,7 and 30 days,core locked,yes,yes,yes,yes,SINHA_2017,TRUE,Tenecteplase + UFH,Placebo + UFH,ST,AC,45,41,submassive/intermediate-risk; RV dysfunction and/or biomarkers; all had myocardial injury,submassive/intermediate-risk; RV dysfunction and/or biomarkers; all had myocardial injury,2,2,2,8,2,8,1,1,1,0,2,1,Baseline RV/LV 1.14+/-0.11; RV function improvement 31/45,Baseline RV/LV 1.16+/-0.14; RV function improvement 16/41,"Table 3: primary 2, death 2, hemodynamic decompensation 2, recurrent PE 2, major bleeding 1, hemorrhagic stroke 1.","Table 3: primary 8, death 2, hemodynamic decompensation 8, recurrent PE 1, major bleeding 1, hemorrhagic stroke 0.",1,1,45,41,ST,AC
ZHANG_2018,ST,AC,NA,NA,0,33,0,33,0,0,ZHANG_2018,Zhang 2018,NA,Author-defined major bleeding,90 days,core locked,yes,yes,yes,yes,ZHANG_2018,TRUE,Low-dose rt-PA + LMWH,LMWH,ST,AC,33,33,acute intermediate-risk PE; low-dose ST sensitivity,acute intermediate-risk PE,0,0,0,3,NA,NA,0,0,0,0,1,2,1.26+/-0.22 to 0.96+/-0.18 at 24h,1.22+/-0.19 to 1.17+/-0.21 at 24h,Safety outcomes: at 90 days no deaths and no major bleeding among 66; no hemodynamic decompensation and 1 recurrent VTE in rt-PA group.,Safety outcomes: 3 hemodynamic decompensation and 2 recurrent VTE in LMWH group; no deaths and no major bleeding among 66.,0,0,33,33,ST,AC
AHMED_2018,ST,AC,NA,NA,0,24,0,28,0,0,AHMED_2018,Ahmed 2018,NA,Author-defined major bleeding,72h; hospital stay,partial locked; mortality not reported as event count,no,no,yes,yes,AHMED_2018,TRUE,Streptokinase + anticoagulation,Anticoagulation,ST,AC,24,28,submassive PE causing RV dysfunction; biomarker criteria stated in discussion,submassive PE causing RV dysfunction; biomarker criteria stated in discussion,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,PASP 51.54+/-6.95 to 39.08+/-3.83 at 72h; PH endpoint 12/24,PASP 47.92+/-8.02 to 46.5+/-7.22 at 72h; PH endpoint 24/28,Table 3: endpoint pulmonary hypertension 12/24; no bleeding detected in both groups; death count not explicitly reported.,Table 3: endpoint pulmonary hypertension 24/28; no bleeding detected in both groups; death count not explicitly reported.,0,0,24,28,ST,AC
