studlab,treat1,treat2,TE,seTE,n1,mean1,sd1,n2,mean2,sd2,study_id,short_name,early_timepoint,long_term_timepoint,measure,analysis_status,conversion_needed,studlab.orig,node1,node2,arm_label1,arm_label2,n.orig1,n.orig2,baseline_mean1,baseline_mean2,baseline_sd1,baseline_sd2,early_followup_mean1,early_followup_mean2,early_followup_sd1,early_followup_sd2,early_change_reduction_mean1,early_change_reduction_mean2,early_change_reduction_sd1,early_change_reduction_sd2,long_term_value1,long_term_value2,rv_recovery_event_n1,rv_recovery_event_n2,rv_recovery_total_n1,rv_recovery_total_n2,source_note1,source_note2,mean.orig1,mean.orig2,sd.orig1,sd.orig2,treat.orig1,treat.orig2
PEERLESS_2025,LBAT,CDT,0.020000000000000018,0.021334163080235273,274,0.32,0.24,276,0.3,0.26,PEERLESS_2025,PEERLESS,24h,NA,RV/LV ratio reduction,main_continuous_nma,no,PEERLESS_2025,LBAT,CDT,FlowTriever LBMT,CDT mixed,274,276,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0.3,0.24,0.26,NA,NA,NA,NA,NA,NA,Mean RV/LV reduction 0.32+/-0.24 at 24h.,Mean RV/LV reduction 0.30+/-0.26 at 24h; CDT arm is mixed CDT/USCDT.,0.32,0.3,0.24,0.26,LBAT,CDT
STORM_PE_2025,CAT,AC,0.28,0.07701710123066896,47,0.52,0.37,53,0.24,0.4,STORM_PE_2025,STORM-PE,48h,90d planned,RV/LV ratio reduction,main_continuous_nma,no,STORM_PE_2025,CAT,AC,CAVT/Penumbra + AC,AC alone,47,53,1.63,1.56,0.36,0.35,NA,NA,NA,NA,0.52,0.24,0.37,0.4,NA,NA,NA,NA,NA,NA,Baseline 1.63+/-0.36; 48h RV/LV reduction 0.52+/-0.37.,Baseline 1.56+/-0.35; 48h RV/LV reduction 0.24+/-0.40.,0.52,0.24,0.37,0.4,CAT,AC
STRATIFY_2026,USCDT,AC,0,0.05071443048965228,71,0.3,0.3,69,0.3,0.3,STRATIFY_2026,STRATIFY,48-96h,3mo,CT RV/LV diameter ratio reduction,main_continuous_nma,no,STRATIFY_2026,USCDT,AC,USAT low-dose alteplase,Heparin alone,71,69,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,STRATIFY Table 2: RV/LV diameter ratio reduction 0.3 +/- 0.3 at 48-96h.,STRATIFY Table 2: RV/LV diameter ratio reduction 0.3 +/- 0.3 at 48-96h.,0.3,0.3,0.3,0.3,USCDT,AC
STRATIFY_2026,USCDT,ST,-0.10000000000000003,0.05960973007418423,71,0.3,0.3,70,0.4,0.4,STRATIFY_2026,STRATIFY,48-96h,3mo,CT RV/LV diameter ratio reduction,main_continuous_nma,no,STRATIFY_2026,USCDT,ST,USAT low-dose alteplase,IV low-dose alteplase,71,70,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.3,0.4,NA,NA,NA,NA,NA,NA,STRATIFY Table 2: RV/LV diameter ratio reduction 0.3 +/- 0.3 at 48-96h.,STRATIFY Table 2: RV/LV diameter ratio reduction 0.4 +/- 0.4 at 48-96h; low-dose ST sensitivity flag.,0.3,0.4,0.3,0.4,USCDT,ST
STRATIFY_2026,ST,AC,0.10000000000000003,0.05991712703227052,70,0.4,0.4,69,0.3,0.3,STRATIFY_2026,STRATIFY,48-96h,3mo,CT RV/LV diameter ratio reduction,main_continuous_nma,no,STRATIFY_2026,ST,AC,IV low-dose alteplase,Heparin alone,70,69,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,0.4,0.3,NA,NA,NA,NA,NA,NA,STRATIFY Table 2: RV/LV diameter ratio reduction 0.4 +/- 0.4 at 48-96h; low-dose ST sensitivity flag.,STRATIFY Table 2: RV/LV diameter ratio reduction 0.3 +/- 0.3 at 48-96h.,0.4,0.3,0.4,0.3,ST,AC
