studlab,treat1,treat2,TE,seTE,event1,n1,event2,n2,incr1,incr2,study_id,short_name,death_7d_n,major_bleeding_definition,follow_up_locked,locked_status_v0.2,ready_death_nma,ready_clinical_deterioration_nma,ready_major_bleeding_nma,ready_ich_nma,studlab.orig,ready,arm_label1,arm_label2,node1,node2,n_randomized_or_analyzed1,n_randomized_or_analyzed2,risk_mapping_v0.21,risk_mapping_v0.22,death_followup_n1,death_followup_n2,clinical_deterioration_n1,clinical_deterioration_n2,primary_clinical_composite_n1,primary_clinical_composite_n2,major_bleeding_n1,major_bleeding_n2,intracranial_hemorrhage_n1,intracranial_hemorrhage_n2,recurrent_pe_n1,recurrent_pe_n2,rv_lv_or_rv_recovery_locked1,rv_lv_or_rv_recovery_locked2,source_note_v0.21,source_note_v0.22,event.orig1,event.orig2,n.orig1,n.orig2,treat.orig1,treat.orig2
ULTIMA_2014,USCDT,AC,NA,NA,0,30,0,29,0,0,ULTIMA_2014,ULTIMA,NA,Author-defined major bleeding,90 days,core locked,yes,yes,yes,yes,ULTIMA_2014,TRUE,USAT/USCDT + UFH,UFH alone,USCDT,AC,30,29,intermediate-risk by RV/LV >=1; biomarker not required,intermediate-risk by RV/LV >=1; biomarker not required,0,1,0,0,NA,NA,0,0,0,0,0,0,1.28+/-0.19 to 0.99+/-0.17 at 24h; change 0.30+/-0.20,1.20+/-0.14 to 1.17+/-0.20 at 24h; change 0.03+/-0.16,"Abstract/results: safety outcomes at 90 days: 0 deaths in USAT, no major bleeding, no recurrent VTE.","Abstract/results: 1 death in heparin group, no major bleeding, no recurrent VTE.",0,0,30,29,USCDT,AC
MAPPET3_2002,ST,AC,-1.0605020697988556,0.3630350464056483,12,118,34,138,0,0,MAPPET3_2002,MAPPET-3,NA,Author-defined major bleeding,in-hospital or day 30,core locked,yes,yes,yes,yes,MAPPET3_2002,TRUE,Heparin + alteplase,Heparin + placebo,ST,AC,118,138,"submassive PE; intermediate-risk by RV dysfunction/PH/ECG strain, biomarker not required","submassive PE; intermediate-risk by RV dysfunction/PH/ECG strain, biomarker not required",4,3,12,34,13,34,1,5,0,0,4,4,NA,NA,"Table 2: primary 13, death 4, escalation 12, recurrent PE 4, major bleeding 1, hemorrhagic stroke 0.","Table 2: primary 34, death 3, escalation 34, recurrent PE 4, major bleeding 5, hemorrhagic stroke 0.",12,34,118,138,ST,AC
FASULLO_2011,ST,AC,-1.7222334065794447,1.567328112724111,0,37,2,35,0.5,0.5,FASULLO_2011,Fasullo 2011,NA,Author-defined major bleeding,10 days and 180 days,core locked,yes,yes,yes,yes,FASULLO_2011,TRUE,Thrombolysis + heparin,Heparin/placebo,ST,AC,37,35,submassive PE with RVD; biomarker mixed/unclear,submassive PE with RVD; biomarker mixed/unclear,0,5,0,2,NA,NA,2,1,0,0,0,4,RV function improved earlier; detailed echo table locked in source,NA,"Tables 4/6: in-hospital death 0, recurrent PE 0, major bleeding 2; total death 0; text: no intracranial bleeding in thrombolysis.","Table 4: death 5, recurrent fatal PE 3, irreversible RVD 2, major bleeding 1; Table 6 total death 6 and recurrent fatal PE 4 through 180d.",0,2,37,35,ST,AC
SINHA_2017,ST,AC,-1.6509869153469727,0.823746832623057,2,45,8,41,0,0,SINHA_2017,Sinha 2017,2,Author-defined major bleeding,7 and 30 days,core locked,yes,yes,yes,yes,SINHA_2017,TRUE,Tenecteplase + UFH,Placebo + UFH,ST,AC,45,41,submassive/intermediate-risk; RV dysfunction and/or biomarkers; all had myocardial injury,submassive/intermediate-risk; RV dysfunction and/or biomarkers; all had myocardial injury,2,2,2,8,2,8,1,1,1,0,2,1,Baseline RV/LV 1.14+/-0.11; RV function improvement 31/45,Baseline RV/LV 1.16+/-0.14; RV function improvement 16/41,"Table 3: primary 2, death 2, hemodynamic decompensation 2, recurrent PE 2, major bleeding 1, hemorrhagic stroke 1.","Table 3: primary 8, death 2, hemodynamic decompensation 8, recurrent PE 1, major bleeding 1, hemorrhagic stroke 0.",2,8,45,41,ST,AC
ZHANG_2018,ST,AC,-2.0397289042729683,1.5324333320666332,0,33,3,33,0.5,0.5,ZHANG_2018,Zhang 2018,NA,Author-defined major bleeding,90 days,core locked,yes,yes,yes,yes,ZHANG_2018,TRUE,Low-dose rt-PA + LMWH,LMWH,ST,AC,33,33,acute intermediate-risk PE; low-dose ST sensitivity,acute intermediate-risk PE,0,0,0,3,NA,NA,0,0,0,0,1,2,1.26+/-0.22 to 0.96+/-0.18 at 24h,1.22+/-0.19 to 1.17+/-0.21 at 24h,Safety outcomes: at 90 days no deaths and no major bleeding among 66; no hemodynamic decompensation and 1 recurrent VTE in rt-PA group.,Safety outcomes: 3 hemodynamic decompensation and 2 recurrent VTE in LMWH group; no deaths and no major bleeding among 66.,0,3,33,33,ST,AC
