studlab,treat1,treat2,TE,seTE,n1,mean1,sd1,n2,mean2,sd2,study_id,short_name,early_timepoint,long_term_timepoint,measure,analysis_status,conversion_needed,studlab.orig,node1,node2,arm_label1,arm_label2,n.orig1,n.orig2,baseline_mean1,baseline_mean2,baseline_sd1,baseline_sd2,early_followup_mean1,early_followup_mean2,early_followup_sd1,early_followup_sd2,early_change_reduction_mean1,early_change_reduction_mean2,early_change_reduction_sd1,early_change_reduction_sd2,long_term_value1,long_term_value2,rv_recovery_event_n1,rv_recovery_event_n2,rv_recovery_total_n1,rv_recovery_total_n2,source_note1,source_note2,mean.orig1,mean.orig2,sd.orig1,sd.orig2,treat.orig1,treat.orig2
ULTIMA_2014,USCDT,AC,0.27,0.04707538586164737,30,0.3,0.2,29,0.03,0.16,ULTIMA_2014,ULTIMA,24h,90d,echocardiographic RV/LV ratio,main_continuous_nma,no,ULTIMA_2014,USCDT,AC,USAT/USCDT + UFH,UFH alone,30,29,1.28,1.2,0.19,0.14,0.99,1.17,0.17,0.2,0.3,0.03,0.2,0.16,NA,NA,NA,NA,NA,NA,Mean RV/LV ratio from 1.28+/-0.19 to 0.99+/-0.17 at 24h; mean decrease 0.30+/-0.20.,Mean RV/LV ratio from 1.20+/-0.14 to 1.17+/-0.20 at 24h; mean decrease 0.03+/-0.16.,0.3,0.03,0.2,0.16,USCDT,AC
SUNSET_sPE_2021,USCDT,CDT,-0.24,0.08480824856339296,40,0.35,0.34,41,0.59,0.42,SUNSET_sPE_2021,SUNSET sPE,48h,90d,RV/LV ratio,main_continuous_nma,no,SUNSET_sPE_2021,USCDT,CDT,USAT/EKOS,Standard CDT,40,41,1.5,1.7,0.3,0.4,1.2,1.1,0.2,0.2,0.35,0.59,0.34,0.42,NA,NA,NA,NA,NA,NA,RV/LV 1.5+/-0.3 to 1.2+/-0.2 at 48h; delta 0.35+/-0.34.,RV/LV 1.7+/-0.4 to 1.1+/-0.2 at 48h; delta 0.59+/-0.42.,0.35,0.59,0.34,0.42,USCDT,CDT
PEERLESS_2025,LBAT,CDT,0.020000000000000018,0.021334163080235273,274,0.32,0.24,276,0.3,0.26,PEERLESS_2025,PEERLESS,24h,NA,RV/LV ratio reduction,main_continuous_nma,no,PEERLESS_2025,LBAT,CDT,FlowTriever LBMT,CDT mixed,274,276,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0.3,0.24,0.26,NA,NA,NA,NA,NA,NA,Mean RV/LV reduction 0.32+/-0.24 at 24h.,Mean RV/LV reduction 0.30+/-0.26 at 24h; CDT arm is mixed CDT/USCDT.,0.32,0.3,0.24,0.26,LBAT,CDT
STORM_PE_2025,CAT,AC,0.28,0.07701710123066896,47,0.52,0.37,53,0.24,0.4,STORM_PE_2025,STORM-PE,48h,90d planned,RV/LV ratio reduction,main_continuous_nma,no,STORM_PE_2025,CAT,AC,CAVT/Penumbra + AC,AC alone,47,53,1.63,1.56,0.36,0.35,NA,NA,NA,NA,0.52,0.24,0.37,0.4,NA,NA,NA,NA,NA,NA,Baseline 1.63+/-0.36; 48h RV/LV reduction 0.52+/-0.37.,Baseline 1.56+/-0.35; 48h RV/LV reduction 0.24+/-0.40.,0.52,0.24,0.37,0.4,CAT,AC
ZHANG_2018,ST,AC,0.27,0.04192345116490003,33,0.31,0.18,33,0.04,0.16,ZHANG_2018,Zhang 2018,24h,90d,CT RV/LV ratio,main_continuous_nma,no,ZHANG_2018,ST,AC,Low-dose rt-PA + LMWH,LMWH,33,33,1.26,1.22,0.22,0.19,0.96,1.17,0.18,0.21,0.31,0.04,0.18,0.16,NA,NA,NA,NA,NA,NA,RV/LV from 1.26+/-0.22 to 0.96+/-0.18 at 24h; mean difference 0.31+/-0.18.,RV/LV from 1.22+/-0.19 to 1.17+/-0.21 at 24h; mean difference 0.04+/-0.16.,0.31,0.04,0.18,0.16,ST,AC
STRATIFY_2026,USCDT,AC,0,0.05071443048965228,71,0.3,0.3,69,0.3,0.3,STRATIFY_2026,STRATIFY,48-96h,3mo,CT RV/LV diameter ratio reduction,main_continuous_nma,no,STRATIFY_2026,USCDT,AC,USAT low-dose alteplase,Heparin alone,71,69,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,STRATIFY Table 2: RV/LV diameter ratio reduction 0.3 +/- 0.3 at 48-96h.,STRATIFY Table 2: RV/LV diameter ratio reduction 0.3 +/- 0.3 at 48-96h.,0.3,0.3,0.3,0.3,USCDT,AC
STRATIFY_2026,USCDT,ST,-0.10000000000000003,0.05960973007418423,71,0.3,0.3,70,0.4,0.4,STRATIFY_2026,STRATIFY,48-96h,3mo,CT RV/LV diameter ratio reduction,main_continuous_nma,no,STRATIFY_2026,USCDT,ST,USAT low-dose alteplase,IV low-dose alteplase,71,70,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.3,0.4,NA,NA,NA,NA,NA,NA,STRATIFY Table 2: RV/LV diameter ratio reduction 0.3 +/- 0.3 at 48-96h.,STRATIFY Table 2: RV/LV diameter ratio reduction 0.4 +/- 0.4 at 48-96h; low-dose ST sensitivity flag.,0.3,0.4,0.3,0.4,USCDT,ST
STRATIFY_2026,ST,AC,0.10000000000000003,0.05991712703227052,70,0.4,0.4,69,0.3,0.3,STRATIFY_2026,STRATIFY,48-96h,3mo,CT RV/LV diameter ratio reduction,main_continuous_nma,no,STRATIFY_2026,ST,AC,IV low-dose alteplase,Heparin alone,70,69,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,0.4,0.3,NA,NA,NA,NA,NA,NA,STRATIFY Table 2: RV/LV diameter ratio reduction 0.4 +/- 0.4 at 48-96h; low-dose ST sensitivity flag.,STRATIFY Table 2: RV/LV diameter ratio reduction 0.3 +/- 0.3 at 48-96h.,0.4,0.3,0.4,0.3,ST,AC
