studlab,treat1,treat2,TE,seTE,n1,mean1,sd1,n2,mean2,sd2,study_id,short_name,early_timepoint,long_term_timepoint,measure,analysis_status,conversion_needed,studlab.orig,node1,node2,arm_label1,arm_label2,n.orig1,n.orig2,baseline_mean1,baseline_mean2,baseline_sd1,baseline_sd2,early_followup_mean1,early_followup_mean2,early_followup_sd1,early_followup_sd2,early_change_reduction_mean1,early_change_reduction_mean2,early_change_reduction_sd1,early_change_reduction_sd2,long_term_value1,long_term_value2,rv_recovery_event_n1,rv_recovery_event_n2,rv_recovery_total_n1,rv_recovery_total_n2,source_note1,source_note2,mean.orig1,mean.orig2,sd.orig1,sd.orig2,treat.orig1,treat.orig2
ULTIMA_2014,USCDT,AC,0.27,0.04707538586164737,30,0.3,0.2,29,0.03,0.16,ULTIMA_2014,ULTIMA,24h,90d,echocardiographic RV/LV ratio,main_continuous_nma,no,ULTIMA_2014,USCDT,AC,USAT/USCDT + UFH,UFH alone,30,29,1.28,1.2,0.19,0.14,0.99,1.17,0.17,0.2,0.3,0.03,0.2,0.16,NA,NA,NA,NA,NA,NA,Mean RV/LV ratio from 1.28+/-0.19 to 0.99+/-0.17 at 24h; mean decrease 0.30+/-0.20.,Mean RV/LV ratio from 1.20+/-0.14 to 1.17+/-0.20 at 24h; mean decrease 0.03+/-0.16.,0.3,0.03,0.2,0.16,USCDT,AC
ZHANG_2018,ST,AC,0.27,0.04192345116490003,33,0.31,0.18,33,0.04,0.16,ZHANG_2018,Zhang 2018,24h,90d,CT RV/LV ratio,main_continuous_nma,no,ZHANG_2018,ST,AC,Low-dose rt-PA + LMWH,LMWH,33,33,1.26,1.22,0.22,0.19,0.96,1.17,0.18,0.21,0.31,0.04,0.18,0.16,NA,NA,NA,NA,NA,NA,RV/LV from 1.26+/-0.22 to 0.96+/-0.18 at 24h; mean difference 0.31+/-0.18.,RV/LV from 1.22+/-0.19 to 1.17+/-0.21 at 24h; mean difference 0.04+/-0.16.,0.31,0.04,0.18,0.16,ST,AC
