studlab,treat1,treat2,TE,seTE,event1,n1,event2,n2,incr1,incr2,study_id,short_name,major_bleeding_definition,follow_up_locked,ready_death_nma,ready_clinical_deterioration_nma,ready_major_bleeding_nma,ready_ich_nma,studlab.orig,ready,arm_label1,arm_label2,node1,node2,n_randomized_or_analyzed1,n_randomized_or_analyzed2,risk_mapping_v0.21,risk_mapping_v0.22,death_7d_n1,death_7d_n2,death_followup_n1,death_followup_n2,clinical_deterioration_n1,clinical_deterioration_n2,primary_clinical_composite_n1,primary_clinical_composite_n2,major_bleeding_n1,major_bleeding_n2,intracranial_hemorrhage_n1,intracranial_hemorrhage_n2,recurrent_pe_n1,recurrent_pe_n2,rv_lv_or_rv_recovery_locked1,rv_lv_or_rv_recovery_locked2,locked_status_v0.21,locked_status_v0.22,source_note_v0.21,source_note_v0.22,event.orig1,event.orig2,n.orig1,n.orig2,treat.orig1,treat.orig2
PEITHO_2014,ST,AC,1.6590072514260237,0.3238213142941182,58,506,12,499,0,0,PEITHO_2014,PEITHO,ISTH major bleeding,7 and 30 days,yes,yes,yes,yes,PEITHO_2014,TRUE,Tenecteplase + heparin,Placebo + heparin,ST,AC,506,499,intermediate-high PE: RV dysfunction + positive troponin,intermediate-high PE: RV dysfunction + positive troponin,6,9,12,16,8,25,13,28,58,12,10,1,NA,NA,NA,NA,core locked,core locked,"Table 3: primary 13, death 6, hemodynamic decompensation 8; Table 4/text: ISTH major bleeding 58, major extracranial 32, hemorrhagic stroke/ICH 10.","Table 3: primary 28, death 9, hemodynamic decompensation 25; Table 4/text: ISTH major bleeding 12, major extracranial 6, hemorrhagic stroke/ICH 1.",58,12,506,499,ST,AC
CANARY_2022,CDT,AC,1.0773348902208246,1.6459722581470504,1,48,0,46,0.5,0.5,CANARY_2022,CANARY,BARC type 3 or 5,72h and 3 months,yes,sensitivity,yes,no,CANARY_2022,TRUE,cCDT + anticoagulation,Anticoagulation,CDT,AC,48,46,intermediate-high PE,intermediate-high PE,NA,NA,0,3,NA,NA,2,8,1,0,NA,NA,NA,NA,72h RV/LV>0.9: 13/48; 3mo RV/LV>0.9: 2/46; unrecovered RV 3/46,72h RV/LV>0.9: 24/46; 3mo RV/LV>0.9: 5/39; unrecovered RV 11/39,core locked for death/bleeding/RV; ICH not separately reported,core locked for death/bleeding/RV; ICH not separately reported,Table 2: 3mo all-cause mortality 0/48; composite mortality or primary outcome 2/48; BARC 3/5 1/48.,Table 2: 3mo all-cause mortality 3/46; composite mortality or primary outcome 8/46; BARC 3/5 0.,1,0,48,46,CDT,AC
PEERLESS_2025,LBAT,CDT,0.007812539736793625,0.33626741903705953,19,274,19,276,0,0,PEERLESS_2025,PEERLESS,Author-defined major bleeding,discharge/7 days and 30 days,yes,yes,yes,yes,PEERLESS_2025,TRUE,FlowTriever LBMT,CDT mixed,LBAT,CDT,274,276,"intermediate-risk, mostly intermediate-high","intermediate-risk, mostly intermediate-high",0,1,1,2,5,15,NA,NA,19,19,2,1,NA,NA,Mean RV/LV reduction 0.32+/-0.24 at 24h,Mean RV/LV reduction 0.30+/-0.26 at 24h,core locked; CDT comparator is mixed,"core locked; CDT arm mixed: 59.8% USCDT, 23.2% side-hole CDT, 8.7% side-slit CDT","Text: mortality 0.0% vs 0.4%, ICH 0.7% vs 0.4%, major bleeding 6.9% both; 5 vs 15 clinical deterioration/bailout; 30d mortality 0.4%.",Text: CDT arm composition; clinical deterioration/bailout 15; major bleeding 19; 30d mortality 0.8%.,19,19,274,276,LBAT,CDT
STORM_PE_2025,CAT,AC,0.12260232209233228,1.4286251781575012,1,47,1,53,0,0,STORM_PE_2025,STORM-PE,BARC major bleeding,"48h, 7 days, 90 days planned",yes,yes,yes,no,STORM_PE_2025,TRUE,CAVT/Penumbra + AC,AC alone,CAT,AC,47,53,intermediate-high PE,intermediate-high PE,2,0,NA,NA,1,3,2,4,1,1,NA,NA,0,0,Baseline 1.63+/-0.36; 48h RV/LV reduction 0.52+/-0.37,Baseline 1.56+/-0.35; 48h RV/LV reduction 0.24+/-0.40,core locked; ICH not separately stated,core locked; ICH not separately stated,Text: MAE 2/47; clinical deterioration 1; two PE-related deaths; major bleeding 1; recurrent PE 0.,Text: MAE 4/53; clinical deterioration requiring rescue 3; major bleeding 1; recurrent PE 0.,1,1,47,53,CAT,AC
STRATIFY_2026,USCDT,AC,1.8368799045085247,1.0939639685127767,6,71,1,69,0,0,STRATIFY_2026,STRATIFY,ISTH major bleeding; TIMI major also reported,48-96h imaging and 3 months,yes,yes,yes,no,STRATIFY_2026,TRUE,USAT low-dose alteplase,Heparin alone,USCDT,AC,71,69,intermediate-high PE by ESC criteria,intermediate-high PE by ESC criteria,2,0,2,0,1,2,NA,NA,6,1,NA,NA,NA,NA,RV/LV diameter ratio reduction 48-96h: 0.3 +/- 0.3,RV/LV diameter ratio reduction 48-96h: 0.3 +/- 0.3,core locked for STRATIFY v0.3; ICH arm-specific not reported,core locked for STRATIFY v0.3; ICH arm-specific not reported,STRATIFY Table 2/Figure 1: randomized n=71; deaths 2 by 3 months; full-dose thrombolysis for clinical deterioration 1; ISTH major bleeding 6; RV/LV reduction 0.3 SD 0.3 at 48-96h. Text confirms two fatal intracranial haemorrhages overall but does not provide complete arm-specific ICH counts.,STRATIFY Table 2/Figure 1: randomized n=69; deaths 0 by 3 months; full-dose thrombolysis for clinical deterioration 2; ISTH major bleeding 1; RV/LV reduction 0.3 SD 0.3 at 48-96h.,6,1,71,69,USCDT,AC
STRATIFY_2026,USCDT,ST,-0.015504186535965199,0.6036082742291964,6,71,6,70,0,0,STRATIFY_2026,STRATIFY,ISTH major bleeding; TIMI major also reported,48-96h imaging and 3 months,yes,yes,yes,no,STRATIFY_2026,TRUE,USAT low-dose alteplase,IV low-dose alteplase,USCDT,ST,71,70,intermediate-high PE by ESC criteria,intermediate-high PE by ESC criteria; low-dose ST sensitivity,2,0,2,4,1,2,NA,NA,6,6,NA,NA,NA,NA,RV/LV diameter ratio reduction 48-96h: 0.3 +/- 0.3,RV/LV diameter ratio reduction 48-96h: 0.4 +/- 0.4,core locked for STRATIFY v0.3; ICH arm-specific not reported,core locked for STRATIFY v0.3; ICH arm-specific not reported,STRATIFY Table 2/Figure 1: randomized n=71; deaths 2 by 3 months; full-dose thrombolysis for clinical deterioration 1; ISTH major bleeding 6; RV/LV reduction 0.3 SD 0.3 at 48-96h. Text confirms two fatal intracranial haemorrhages overall but does not provide complete arm-specific ICH counts.,STRATIFY Table 2/Figure 1: randomized n=70; deaths 4 by 3 months; full-dose thrombolysis for clinical deterioration 2; ISTH major bleeding 6; RV/LV reduction 0.4 SD 0.4 at 48-96h. Low-dose IV alteplase should be flagged as ST low-dose/sensitivity.,6,6,71,70,USCDT,ST
STRATIFY_2026,ST,AC,1.8523840910444898,1.0940738316126604,6,70,1,69,0,0,STRATIFY_2026,STRATIFY,ISTH major bleeding; TIMI major also reported,48-96h imaging and 3 months,yes,yes,yes,no,STRATIFY_2026,TRUE,IV low-dose alteplase,Heparin alone,ST,AC,70,69,intermediate-high PE by ESC criteria; low-dose ST sensitivity,intermediate-high PE by ESC criteria,0,0,4,0,2,2,NA,NA,6,1,NA,NA,NA,NA,RV/LV diameter ratio reduction 48-96h: 0.4 +/- 0.4,RV/LV diameter ratio reduction 48-96h: 0.3 +/- 0.3,core locked for STRATIFY v0.3; ICH arm-specific not reported,core locked for STRATIFY v0.3; ICH arm-specific not reported,STRATIFY Table 2/Figure 1: randomized n=70; deaths 4 by 3 months; full-dose thrombolysis for clinical deterioration 2; ISTH major bleeding 6; RV/LV reduction 0.4 SD 0.4 at 48-96h. Low-dose IV alteplase should be flagged as ST low-dose/sensitivity.,STRATIFY Table 2/Figure 1: randomized n=69; deaths 0 by 3 months; full-dose thrombolysis for clinical deterioration 2; ISTH major bleeding 1; RV/LV reduction 0.3 SD 0.3 at 48-96h.,6,1,70,69,ST,AC
HI_PEITHO_2026,USCDT,AC,0.32226325953520235,0.4727876544190235,11,273,8,271,0,0,HI_PEITHO_2026,HI-PEITHO,ISTH major bleeding,7 and 30 days,yes,yes,yes,yes,HI_PEITHO_2026,TRUE,USCDT + AC,AC alone,USCDT,AC,273,271,acute intermediate-risk PE with cardiorespiratory distress,acute intermediate-risk PE with cardiorespiratory distress,3,2,5,3,10,28,11,28,11,8,0,0,1,2,NA,NA,core locked,core locked,"Table 2: primary 11, PE death 3, decompensation 10, recurrent PE 1; Table 3: ISTH major bleeding 11 by 30d, ICH 0; Table 4: all-cause death 5.","Table 2: primary 28, PE death 1, decompensation 28, recurrent PE 1; Table 3: ISTH major bleeding 8 by 30d, ICH 0; Table 4: all-cause death 3.",11,8,273,271,USCDT,AC
CDT_PILOT_2022,CDT,AC,NA,NA,0,12,0,11,0,0,CDT_PILOT_2022,EuroIntervention pilot CDT,No intracranial/life-threatening BARC type 5 or 3c bleeding,24/48/72h,no,no,yes,yes,CDT_PILOT_2022,TRUE,CDT alteplase 20 mg,Standard anticoagulation,CDT,AC,12,11,intermediate-high PE,intermediate-high PE,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,partial locked; primary composite exact count pending,partial locked; primary composite exact count pending,Abstract/results: no intracranial or life-threatening bleeding; one local BARC 2 access hematoma in CDT arm; exact clinical efficacy counts pending.,Abstract/results: no intracranial or life-threatening bleeding; bleeding count not major/life-threatening.,0,0,12,11,CDT,AC
