study_id,short_name,node,arm_label,n,baseline_mean,baseline_sd,early_timepoint,early_followup_mean,early_followup_sd,early_change_reduction_mean,early_change_reduction_sd,long_term_timepoint,long_term_value,rv_recovery_event_n,rv_recovery_total_n,measure,analysis_status,conversion_needed,source_note,mean,sd,treat,studlab
PEERLESS_2025,PEERLESS,LBAT,FlowTriever LBMT,274,NA,NA,24h,NA,NA,0.32,0.24,NA,NA,NA,NA,RV/LV ratio reduction,main_continuous_nma,no,Mean RV/LV reduction 0.32+/-0.24 at 24h.,0.32,0.24,LBAT,PEERLESS_2025
PEERLESS_2025,PEERLESS,CDT,CDT mixed,276,NA,NA,24h,NA,NA,0.3,0.26,NA,NA,NA,NA,RV/LV ratio reduction,main_continuous_nma,no,Mean RV/LV reduction 0.30+/-0.26 at 24h; CDT arm is mixed CDT/USCDT.,0.3,0.26,CDT,PEERLESS_2025
STORM_PE_2025,STORM-PE,CAT,CAVT/Penumbra + AC,47,1.63,0.36,48h,NA,NA,0.52,0.37,90d planned,NA,NA,NA,RV/LV ratio reduction,main_continuous_nma,no,Baseline 1.63+/-0.36; 48h RV/LV reduction 0.52+/-0.37.,0.52,0.37,CAT,STORM_PE_2025
STORM_PE_2025,STORM-PE,AC,AC alone,53,1.56,0.35,48h,NA,NA,0.24,0.4,90d planned,NA,NA,NA,RV/LV ratio reduction,main_continuous_nma,no,Baseline 1.56+/-0.35; 48h RV/LV reduction 0.24+/-0.40.,0.24,0.4,AC,STORM_PE_2025
STRATIFY_2026,STRATIFY,USCDT,USAT low-dose alteplase,71,NA,NA,48-96h,NA,NA,0.3,0.3,3mo,NA,NA,NA,CT RV/LV diameter ratio reduction,main_continuous_nma,no,STRATIFY Table 2: RV/LV diameter ratio reduction 0.3 +/- 0.3 at 48-96h.,0.3,0.3,USCDT,STRATIFY_2026
STRATIFY_2026,STRATIFY,ST,IV low-dose alteplase,70,NA,NA,48-96h,NA,NA,0.4,0.4,3mo,NA,NA,NA,CT RV/LV diameter ratio reduction,main_continuous_nma,no,STRATIFY Table 2: RV/LV diameter ratio reduction 0.4 +/- 0.4 at 48-96h; low-dose ST sensitivity flag.,0.4,0.4,ST,STRATIFY_2026
STRATIFY_2026,STRATIFY,AC,Heparin alone,69,NA,NA,48-96h,NA,NA,0.3,0.3,3mo,NA,NA,NA,CT RV/LV diameter ratio reduction,main_continuous_nma,no,STRATIFY Table 2: RV/LV diameter ratio reduction 0.3 +/- 0.3 at 48-96h.,0.3,0.3,AC,STRATIFY_2026
