"outcome","treatment","reference","estimate_vs_AC","se","lower_95","upper_95","k_pairwise_contrasts","k_studies","OR_vs_AC","OR_lower_95","OR_upper_95"
"death_followup_logOR","CDT","AC",-2.05471300890411,1.52621143625726,-5.04608742396834,0.936661406160115,10,10,0.128129602356407,0.00643445957256384,2.55144893131551
"death_followup_logOR","LBAT","AC",-2.74420387826095,1.95873275023979,-6.58332006873094,1.09491231220905,10,10,0.0642994707795886,0.00138324918036253,2.9889205800589
"death_followup_logOR","ST","AC",-0.241232032808123,0.309023339648975,-0.846917778520113,0.364453712903867,10,10,0.78565930650195,0.428734351760295,1.43972728884163
"death_followup_logOR","USCDT","AC",0.23389053987639,0.671940734236905,-1.08311329922794,1.55089437898072,10,10,1.26350618109538,0.338539907237765,4.71568590743719
