"outcome","treatment","reference","estimate_vs_AC","se","lower_95","upper_95","k_pairwise_contrasts","k_studies"
"early_RV_LV_reduction_24_48h_MD","CAT","AC",0.28,0.077017101230669,0.129046481587889,0.430953518412111,5,5
"early_RV_LV_reduction_24_48h_MD","CDT","AC",0.51,0.0969975823328254,0.319884738627662,0.700115261372338,5,5
"early_RV_LV_reduction_24_48h_MD","LBAT","AC",0.53,0.0993160485155714,0.33534054490948,0.72465945509052,5,5
"early_RV_LV_reduction_24_48h_MD","ST","AC",0.27,0.0419234511649,0.187830035716796,0.352169964283204,5,5
"early_RV_LV_reduction_24_48h_MD","USCDT","AC",0.27,0.0470753858616474,0.177732243711171,0.362267756288829,5,5
